nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=7.322260 | 纯缩放 Scale=518.8299 | 全局 MSE=10494.5008 | 耗时=2265.5s
[Worker] 尝试 k=6.727253 | 纯缩放 Scale=1138.0857 | 全局 MSE=151954.5804 | 耗时=2265.9s
[Worker] 尝试 k=5.076354 | 纯缩放 Scale=2427.1249 | 全局 MSE=913649.5801 | 耗时=2266.6s
[Worker] 尝试 k=12.998196 | 纯缩放 Scale=316.3202 | 全局 MSE=120.0028 | 耗时=2267.0s
[Worker] 尝试 k=10.542998 | 纯缩放 Scale=535.8452 | 全局 MSE=8225.2706 | 耗时=2267.3s
[Worker] 尝试 k=9.938779 | 纯缩放 Scale=322.2133 | 全局 MSE=109.2658 | 耗时=2267.7s
[Worker] 尝试 k=14.703250 | 纯缩放 Scale=774.8146 | 全局 MSE=41796.4749 | 耗时=2267.8s
[Worker] 尝试 k=8.496530 | 纯缩放 Scale=315.2278 | 全局 MSE=235.0590 | 耗时=2267.8s
[Worker] 尝试 k=7.534066 | 纯缩放 Scale=318.1266 | 全局 MSE=60.9241 | 耗时=2268.8s
[Worker] 尝试 k=13.377472 | 纯缩放 Scale=640.5324 | 全局 MSE=22142.0614 | 耗时=2268.9s
[Worker] 尝试 k=6.100891 | 纯缩放 Scale=322.1592 | 全局 MSE=42.3333 | 耗时=2269.1s
[Worker] 尝试 k=8.802070 | 纯缩放 Scale=545.1615 | 全局 MSE=11671.0853 | 耗时=2269.4s
[Worker] 尝试 k=9.778657 | 纯缩放 Scale=269.2113 | 全局 MSE=525.3776 | 耗时=2269.9s
[Worker] 尝试 k=11.008894 | 纯缩放 Scale=625.2982 | 全局 MSE=19686.1019 | 耗时=2269.9s
[Worker] 尝试 k=5.333019 | 纯缩放 Scale=553.1216 | 全局 MSE=13138.2775 | 耗时=2270.1s
[Worker] 尝试 k=13.703437 | 纯缩放 Scale=1269.6259 | 全局 MSE=172028.0519 | 耗时=2270.4s
[Worker] 尝试 k=13.171834 | 纯缩放 Scale=283.7062 | 全局 MSE=485.0591 | 耗时=2270.6s
[Worker] 尝试 k=13.443572 | 纯缩放 Scale=666.0657 | 全局 MSE=23406.3672 | 耗时=2271.4s
[Worker] 尝试 k=5.123756 | 纯缩放 Scale=333.1951 | 全局 MSE=104.8766 | 耗时=2271.9s
[Worker] 尝试 k=11.833014 | 纯缩放 Scale=348.4332 | 全局 MSE=280.2552 | 耗时=2272.6s
[Worker] 尝试 k=5.450806 | 纯缩放 Scale=269.3442 | 全局 MSE=1010.4263 | 耗时=2272.8s
[Worker] 尝试 k=8.567168 | 纯缩放 Scale=540.8889 | 全局 MSE=10928.3332 | 耗时=2273.1s
[Worker] 尝试 k=7.714062 | 纯缩放 Scale=390.6081 | 全局 MSE=1100.8085 | 耗时=2273.4s
[Worker] 尝试 k=11.618824 | 纯缩放 Scale=370.6936 | 全局 MSE=312.8705 | 耗时=2273.8s
[Worker] 尝试 k=14.322580 | 纯缩放 Scale=385.7349 | 全局 MSE=739.5542 | 耗时=2274.6s
[Worker] 尝试 k=6.602627 | 纯缩放 Scale=615.4120 | 全局 MSE=17420.9001 | 耗时=2274.9s
[Worker] 尝试 k=9.211893 | 纯缩放 Scale=279.3507 | 全局 MSE=268.4409 | 耗时=2275.1s
[Worker] 尝试 k=14.668517 | 纯缩放 Scale=1762.4662 | 全局 MSE=468169.6472 | 耗时=2275.5s
[Worker] 尝试 k=5.795323 | 纯缩放 Scale=250.4136 | 全局 MSE=1028.6858 | 耗时=2276.7s
[Worker] 尝试 k=10.028065 | 纯缩放 Scale=220.6811 | 全局 MSE=2131.5964 | 耗时=2278.4s
[Worker] 尝试 k=7.500968 | 纯缩放 Scale=1564.7468 | 全局 MSE=323109.1857 | 耗时=2278.4s
[Worker] 尝试 k=14.923767 | 纯缩放 Scale=387.0861 | 全局 MSE=737.7757 | 耗时=2279.3s
[Worker] 尝试 k=5.513576 | 纯缩放 Scale=215.3239 | 全局 MSE=2093.2971 | 耗时=2279.5s
