nohup: ignoring input
=====================================================================================
🚀 算力怪兽重归正道：256核并行 | 强制 b=0 纯比例拟合 (寻找物理圣杯)
=====================================================================================
[*] 正在加载 100 阶黎曼零点真值...
[*] 锁定 100 亿步混沌演化 | 物理限制: b ≡ 0 (无漂移)
[Worker] k=12.073736 | MSE=79.8084 | Scale=325.3156 | 耗时=2096.6s
[Worker] k=4.653225 | MSE=60.5050 | Scale=320.3620 | 耗时=2107.9s
[Worker] k=13.442691 | MSE=75.6993 | Scale=321.2183 | 耗时=2109.5s
[Worker] k=14.231420 | MSE=77.0419 | Scale=334.2633 | 耗时=2110.6s
[Worker] k=11.036440 | MSE=81.3852 | Scale=326.3702 | 耗时=2112.2s
[Worker] k=8.126847 | MSE=41.0722 | Scale=307.0923 | 耗时=2114.0s
[Worker] k=12.385754 | MSE=32.2705 | Scale=310.7853 | 耗时=2116.8s
[Worker] k=6.021384 | MSE=76.3571 | Scale=320.7787 | 耗时=2124.3s
[Worker] k=11.135695 | MSE=92.5088 | Scale=325.7857 | 耗时=2135.3s
[Worker] k=12.638711 | MSE=88.5583 | Scale=351.9686 | 耗时=2139.5s
[Worker] k=7.572796 | MSE=112.2763 | Scale=329.6217 | 耗时=2155.9s
[Worker] k=10.188321 | MSE=42.9501 | Scale=322.7790 | 耗时=2155.9s
[Worker] k=9.226936 | MSE=120.2037 | Scale=324.8028 | 耗时=2159.3s
[Worker] k=11.835055 | MSE=76.5222 | Scale=320.6627 | 耗时=2162.3s
[Worker] k=4.474289 | MSE=142.7039 | Scale=323.4718 | 耗时=2167.3s
[Worker] k=3.660941 | MSE=157.1167 | Scale=320.6869 | 耗时=2173.1s
[Worker] k=9.263472 | MSE=126.8213 | Scale=328.1784 | 耗时=2177.0s
[Worker] k=4.692492 | MSE=72.3223 | Scale=314.2982 | 耗时=2182.6s
[Worker] k=9.682310 | MSE=40.9055 | Scale=316.9837 | 耗时=2183.6s
[Worker] k=10.138147 | MSE=45.6858 | Scale=310.0229 | 耗时=2183.7s
[Worker] k=10.332743 | MSE=72.1264 | Scale=327.3820 | 耗时=2185.0s
[Worker] k=11.418516 | MSE=76.2052 | Scale=338.5781 | 耗时=2187.9s
[Worker] k=8.496612 | MSE=98.9974 | Scale=326.5915 | 耗时=2193.2s
[Worker] k=13.518626 | MSE=111.9194 | Scale=338.8589 | 耗时=2193.9s
[Worker] k=6.787278 | MSE=55.1677 | Scale=324.7106 | 耗时=2194.4s
[Worker] k=5.547994 | MSE=61.0827 | Scale=311.1804 | 耗时=2195.4s
[Worker] k=8.651255 | MSE=65.5367 | Scale=330.5447 | 耗时=2195.8s
[Worker] k=10.789728 | MSE=194.3918 | Scale=329.2479 | 耗时=2198.4s
[Worker] k=12.097528 | MSE=33.4944 | Scale=322.8266 | 耗时=2199.1s
